"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N","P3_009N","P3_010N","P3_011N","P3_012N","P3_013N","P3_014N","P3_015N","P3_016N","P3_017N","P3_018N","P3_019N","P3_020N","P3_021N","P3_022N","P3_023N","P3_024N","P3_025N","P3_026N","P3_027N","P3_028N","P3_029N","P3_030N","P3_031N","P3_032N","P3_033N","P3_034N","P3_035N","P3_036N","P3_037N","P3_038N","P3_039N","P3_040N","P3_041N","P3_042N","P3_043N","P3_044N","P3_045N","P3_046N","P3_047N","P3_048N","P3_049N","P3_050N","P3_051N","P3_052N","P3_053N","P3_054N","P3_055N","P3_056N","P3_057N","P3_058N","P3_059N","P3_060N","P3_061N","P3_062N","P3_063N","P3_064N","P3_065N","P3_066N","P3_067N","P3_068N","P3_069N","P3_070N","P3_071N"
"0500000US21103","Henry County, Kentucky","12102","11667","11118","291","40","29","0","189","435","398","54","181","19","2","124","12","0","0","4","1","0","1","0","0","0","34","21","1","0","0","0","0","0","0","1","5","0","0","6","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21105","Hickman County, Kentucky","3530","3440","3110","296","11","7","1","15","90","83","20","39","2","1","19","0","0","0","1","0","0","1","0","0","0","5","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21107","Hopkins County, Kentucky","35186","33964","31101","2257","86","173","16","331","1222","1158","206","563","49","9","289","14","0","1","8","0","5","0","11","3","0","56","27","0","0","3","0","0","15","9","2","0","0","0","0","0","0","0","0","0","0","0","8","3","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21109","Jackson County, Kentucky","9994","9806","9730","12","27","13","4","20","188","187","9","137","6","4","25","0","0","1","0","0","0","1","4","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21111","Jefferson County, Kentucky","614376","577099","413357","122748","1834","20147","457","18556","37277","35534","4986","7224","2460","160","17498","900","328","88","1454","33","3","189","106","68","37","1566","600","108","24","226","100","17","291","55","67","8","20","7","20","11","1","0","2","2","0","7","152","41","9","80","1","12","0","1","4","0","0","4","0","0","0","0","22","18","4","0","0","0","0","3","3"
"0500000US21113","Jessamine County, Kentucky","39704","38017","35233","1534","113","495","25","617","1687","1616","206","632","112","9","617","14","1","1","13","1","0","10","0","0","0","65","29","3","0","3","2","0","22","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","6","0","0","0","0"
"0500000US21115","Johnson County, Kentucky","17751","17389","17200","38","32","80","4","35","362","340","33","188","14","0","81","4","0","4","4","0","0","9","0","3","0","22","10","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21117","Kenton County, Kentucky","128943","122960","112744","5848","329","1579","162","2298","5983","5746","852","2081","439","30","2114","54","19","11","89","2","5","27","12","0","11","221","74","22","2","26","10","3","62","8","11","0","0","0","3","0","0","0","0","0","0","0","13","1","0","11","0","0","0","0","1","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0"
"0500000US21119","Knott County, Kentucky","11228","11038","10932","60","9","18","1","18","190","174","24","115","0","2","31","0","0","0","0","0","0","0","2","0","0","16","7","0","0","0","0","0","5","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21121","Knox County, Kentucky","23183","22547","22093","227","77","74","1","75","636","594","59","397","16","2","109","0","0","0","4","0","0","0","3","4","0","40","16","3","0","0","0","0","12","1","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"0500000US21123","Larue County, Kentucky","11338","10899","10401","293","41","22","8","134","439","417","62","201","24","0","115","1","1","0","7","0","3","1","2","0","0","16","1","0","0","0","3","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21125","Laurel County, Kentucky","47982","46406","45336","356","137","304","4","269","1576","1537","152","958","46","8","364","0","0","0","4","0","0","4","1","0","0","38","29","0","0","5","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21127","Lawrence County, Kentucky","12527","12265","12193","27","2","19","0","24","262","246","25","150","6","0","57","0","0","0","3","4","0","1","0","0","0","13","6","0","0","2","1","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21129","Lee County, Kentucky","6013","5889","5584","274","2","0","0","29","124","118","4","72","0","0","42","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21131","Leslie County, Kentucky","8243","8090","8033","19","21","15","0","2","153","141","8","94","0","0","38","0","0","0","0","0","0","0","0","1","0","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
