CVDID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
772.0,1.0,3.0,2.0,2.0,22.0,63.0,2.0,2.0,5.0,9.0
782.0,1.0,2.0,2.0,4.0,18.0,23.0,2.0,2.0,4.0,4.0
785.0,1.0,5.0,2.0,2.0,5.0,58.0,2.0,2.0,5.0,7.0
787.0,1.0,3.0,3.0,5.0,3.0,48.0,2.0,2.0,5.0,3.0
788.0,1.0,1.0,3.0,4.0,43.0,46.0,2.0,2.0,5.0,3.0
796.0,1.0,6.0,3.0,3.0,33.0,52.0,1.0,2.0,5.0,7.0
799.0,1.0,3.0,2.0,1.0,48.0,39.0,2.0,2.0,2.0,5.0
802.0,1.0,3.0,4.0,1.0,23.0,38.0,1.0,2.0,5.0,4.0
810.0,1.0,2.0,1.0,5.0,15.0,57.0,2.0,2.0,5.0,2.0
815.0,1.0,4.0,1.0,4.0,32.0,53.0,2.0,2.0,5.0,4.0
816.0,1.0,7.0,2.0,2.0,32.0,45.0,2.0,2.0,5.0,3.0
818.0,1.0,2.0,2.0,1.0,1.0,28.0,2.0,2.0,4.0,7.0
833.0,1.0,4.0,3.0,3.0,5.0,24.0,1.0,1.0,7.0,4.0
834.0,1.0,3.0,2.0,3.0,5.0,56.0,1.0,2.0,4.0,4.0
838.0,1.0,4.0,3.0,5.0,5.0,42.0,1.0,2.0,5.0,5.0
841.0,2.0,3.0,2.0,3.0,47.0,29.0,1.0,2.0,5.0,5.0
844.0,2.0,1.0,4.0,4.0,5.0,24.0,2.0,2.0,5.0,2.0
849.0,1.0,3.0,2.0,3.0,14.0,48.0,1.0,2.0,5.0,6.0
861.0,1.0,4.0,3.0,5.0,12.0,31.0,1.0,2.0,5.0,5.0
867.0,1.0,5.0,3.0,6.0,5.0,82.0,1.0,2.0,5.0,7.0
875.0,1.0,5.0,2.0,2.0,46.0,51.0,1.0,2.0,5.0,5.0
876.0,1.0,5.0,2.0,4.0,5.0,60.0,1.0,2.0,5.0,6.0
878.0,1.0,4.0,1.0,5.0,19.0,50.0,1.0,2.0,5.0,5.0
881.0,1.0,3.0,2.0,1.0,38.0,37.0,2.0,2.0,5.0,4.0
883.0,1.0,3.0,3.0,5.0,5.0,41.0,1.0,2.0,2.0,5.0
888.0,1.0,3.0,3.0,3.0,38.0,27.0,1.0,2.0,5.0,7.0
892.0,1.0,4.0,1.0,7.0,25.0,27.0,1.0,2.0,5.0,2.0
903.0,1.0,4.0,2.0,1.0,13.0,42.0,2.0,2.0,5.0,3.0
909.0,1.0,4.0,3.0,2.0,5.0,45.0,1.0,2.0,5.0,5.0
914.0,1.0,3.0,2.0,3.0,5.0,34.0,2.0,2.0,2.0,4.0
915.0,1.0,5.0,2.0,2.0,5.0,29.0,1.0,2.0,5.0,5.0
916.0,1.0,3.0,2.0,3.0,6.0,40.0,1.0,2.0,5.0,4.0
918.0,1.0,3.0,3.0,3.0,21.0,54.0,1.0,2.0,5.0,7.0
926.0,1.0,3.0,3.0,4.0,33.0,34.0,1.0,2.0,5.0,5.0
928.0,1.0,3.0,1.0,6.0,16.0,27.0,2.0,2.0,5.0,5.0
934.0,1.0,5.0,1.0,6.0,37.0,46.0,1.0,2.0,5.0,5.0
944.0,1.0,5.0,4.0,2.0,5.0,42.0,1.0,2.0,5.0,5.0
950.0,1.0,4.0,2.0,2.0,5.0,34.0,1.0,1.0,5.0,5.0
954.0,1.0,3.0,2.0,1.0,5.0,50.0,2.0,1.0,7.0,3.0
955.0,1.0,2.0,2.0,6.0,25.0,21.0,1.0,2.0,2.0,5.0
964.0,1.0,2.0,2.0,1.0,46.0,42.0,2.0,2.0,6.0,3.0
965.0,1.0,3.0,2.0,1.0,9.0,26.0,1.0,2.0,5.0,7.0
967.0,1.0,4.0,3.0,2.0,13.0,36.0,1.0,2.0,5.0,4.0
974.0,1.0,6.0,2.0,1.0,37.0,27.0,1.0,1.0,5.0,5.0
979.0,1.0,3.0,1.0,6.0,14.0,29.0,2.0,2.0,5.0,3.0
984.0,1.0,3.0,1.0,5.0,5.0,23.0,1.0,2.0,5.0,5.0
999.0,1.0,1.0,1.0,7.0,4.0,54.0,2.0,2.0,5.0,4.0
1005.0,1.0,5.0,3.0,3.0,13.0,30.0,1.0,2.0,5.0,5.0
1008.0,1.0,4.0,2.0,2.0,44.0,34.0,1.0,2.0,5.0,5.0
1009.0,1.0,5.0,2.0,2.0,5.0,33.0,1.0,2.0,6.0,5.0
1017.0,1.0,5.0,3.0,5.0,30.0,28.0,1.0,2.0,2.0,9.0
1021.0,1.0,3.0,4.0,5.0,25.0,23.0,1.0,2.0,5.0,5.0
1022.0,1.0,4.0,2.0,2.0,22.0,31.0,2.0,2.0,5.0,3.0
1025.0,1.0,3.0,3.0,4.0,10.0,42.0,1.0,2.0,5.0,3.0
1026.0,1.0,3.0,2.0,2.0,36.0,28.0,1.0,2.0,2.0,5.0
1028.0,1.0,3.0,1.0,4.0,1.0,46.0,1.0,2.0,5.0,2.0
1030.0,1.0,4.0,2.0,2.0,3.0,49.0,2.0,2.0,5.0,7.0
1032.0,1.0,3.0,2.0,3.0,35.0,47.0,2.0,2.0,5.0,4.0
1036.0,1.0,4.0,2.0,2.0,5.0,26.0,1.0,1.0,5.0,5.0
1041.0,1.0,3.0,3.0,2.0,47.0,53.0,2.0,2.0,5.0,3.0
1044.0,1.0,6.0,3.0,4.0,5.0,45.0,1.0,2.0,5.0,5.0
1052.0,1.0,3.0,4.0,1.0,43.0,29.0,2.0,2.0,5.0,3.0
1055.0,1.0,5.0,2.0,2.0,5.0,50.0,1.0,2.0,5.0,5.0
1061.0,2.0,1.0,2.0,1.0,5.0,18.0,1.0,1.0,5.0,1.0
1069.0,2.0,1.0,2.0,2.0,47.0,19.0,2.0,2.0,2.0,3.0
1088.0,2.0,1.0,1.0,6.0,46.0,20.0,1.0,2.0,5.0,3.0
1105.0,2.0,1.0,2.0,1.0,9.0,22.0,1.0,2.0,5.0,5.0
1108.0,2.0,1.0,3.0,4.0,43.0,19.0,1.0,1.0,1.0,3.0
1109.0,2.0,3.0,2.0,1.0,15.0,20.0,1.0,2.0,2.0,3.0
1117.0,2.0,1.0,3.0,2.0,32.0,41.0,2.0,2.0,5.0,6.0
1123.0,2.0,1.0,3.0,5.0,13.0,20.0,1.0,2.0,6.0,3.0
1130.0,2.0,1.0,2.0,3.0,38.0,19.0,1.0,2.0,5.0,3.0
1132.0,2.0,1.0,2.0,2.0,5.0,45.0,2.0,2.0,6.0,5.0
1141.0,2.0,1.0,2.0,1.0,5.0,19.0,2.0,2.0,2.0,3.0
1145.0,2.0,1.0,2.0,2.0,13.0,20.0,1.0,2.0,5.0,3.0
1146.0,1.0,1.0,2.0,1.0,5.0,30.0,2.0,2.0,6.0,6.0
1149.0,2.0,1.0,2.0,2.0,35.0,21.0,2.0,2.0,5.0,3.0
1150.0,2.0,1.0,3.0,4.0,43.0,21.0,1.0,2.0,4.0,3.0
1151.0,1.0,1.0,2.0,2.0,43.0,19.0,2.0,2.0,5.0,4.0
1153.0,2.0,1.0,2.0,2.0,37.0,43.0,2.0,2.0,5.0,3.0
1154.0,1.0,1.0,1.0,6.0,42.0,20.0,1.0,2.0,5.0,2.0
1157.0,2.0,1.0,2.0,2.0,47.0,43.0,2.0,2.0,5.0,4.0
1170.0,2.0,1.0,2.0,1.0,15.0,31.0,2.0,2.0,5.0,5.0
1172.0,2.0,1.0,2.0,2.0,22.0,20.0,1.0,2.0,4.0,3.0
1175.0,2.0,1.0,2.0,1.0,46.0,22.0,2.0,2.0,5.0,3.0
1178.0,2.0,1.0,2.0,2.0,43.0,18.0,1.0,1.0,1.0,2.0
1180.0,2.0,1.0,2.0,3.0,1.0,22.0,1.0,2.0,5.0,3.0
1181.0,2.0,1.0,3.0,1.0,5.0,27.0,2.0,2.0,5.0,6.0
1183.0,1.0,7.0,2.0,2.0,47.0,51.0,1.0,2.0,5.0,3.0
1184.0,2.0,1.0,3.0,4.0,32.0,22.0,2.0,2.0,5.0,5.0
1185.0,1.0,4.0,3.0,5.0,32.0,31.0,2.0,2.0,5.0,9.0
1186.0,2.0,1.0,3.0,4.0,30.0,18.0,2.0,2.0,5.0,2.0
1188.0,2.0,1.0,2.0,2.0,25.0,44.0,2.0,2.0,4.0,5.0
1196.0,2.0,1.0,2.0,1.0,43.0,27.0,1.0,2.0,5.0,2.0
1198.0,1.0,4.0,2.0,4.0,5.0,28.0,1.0,2.0,4.0,5.0
1202.0,2.0,1.0,2.0,2.0,5.0,28.0,2.0,2.0,4.0,4.0
1228.0,1.0,1.0,3.0,4.0,13.0,43.0,2.0,2.0,5.0,3.0
1229.0,2.0,1.0,2.0,2.0,47.0,38.0,1.0,2.0,5.0,2.0
1230.0,2.0,1.0,3.0,4.0,37.0,19.0,1.0,1.0,6.0,3.0
1232.0,1.0,1.0,1.0,6.0,30.0,27.0,1.0,2.0,5.0,6.0
1238.0,1.0,1.0,3.0,3.0,42.0,24.0,2.0,2.0,5.0,6.0
1240.0,2.0,1.0,2.0,2.0,35.0,46.0,2.0,2.0,5.0,3.0
1241.0,1.0,3.0,3.0,3.0,43.0,29.0,1.0,2.0,5.0,6.0
1244.0,1.0,1.0,2.0,2.0,43.0,21.0,1.0,1.0,5.0,3.0
1246.0,1.0,6.0,2.0,2.0,40.0,29.0,2.0,2.0,5.0,7.0
1247.0,1.0,1.0,1.0,6.0,13.0,62.0,1.0,2.0,5.0,5.0
1250.0,1.0,1.0,4.0,6.0,3.0,33.0,2.0,2.0,5.0,3.0
1252.0,1.0,4.0,3.0,1.0,5.0,45.0,2.0,2.0,6.0,7.0
1256.0,1.0,7.0,1.0,5.0,35.0,18.0,1.0,2.0,5.0,2.0
1260.0,1.0,4.0,2.0,3.0,43.0,30.0,2.0,2.0,6.0,5.0
1264.0,1.0,1.0,1.0,6.0,10.0,20.0,1.0,2.0,5.0,3.0
1274.0,1.0,4.0,2.0,1.0,21.0,45.0,2.0,2.0,5.0,6.0
1275.0,1.0,3.0,1.0,5.0,5.0,27.0,1.0,2.0,5.0,5.0
1278.0,1.0,2.0,1.0,6.0,47.0,26.0,2.0,2.0,5.0,3.0
1279.0,1.0,3.0,2.0,1.0,35.0,29.0,2.0,2.0,5.0,7.0
1288.0,1.0,5.0,1.0,7.0,5.0,48.0,1.0,2.0,5.0,3.0
1290.0,1.0,3.0,1.0,5.0,5.0,30.0,1.0,3.0,5.0,3.0
1293.0,1.0,5.0,2.0,1.0,46.0,59.0,2.0,2.0,5.0,5.0
1298.0,1.0,2.0,4.0,5.0,22.0,26.0,2.0,2.0,5.0,3.0
1306.0,1.0,3.0,2.0,3.0,26.0,42.0,2.0,2.0,5.0,7.0
1310.0,1.0,3.0,2.0,3.0,13.0,23.0,2.0,1.0,7.0,4.0
